,Unnamed: 0,resultId,raceId,driverId,constructorId,grid,positionText,positionOrder,points,laps,fastestLapTime,fastestLapSpeed,status,driverRef,dob,nationality_x,year,round,name_x,date,circuitRef,location,country,constructorRef,nationality_y,position_quali,stop,lap,milliseconds,name,weather,SC Laps
38,38,20791,841,15,205,20,13,13,0.0,56,01:32.6,206.275,+2 Laps,trulli,7/13/1974,Italian,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,lotus_racing,Malaysian,20.0,2,37,24848,Australian Grand Prix,Dry,
39,39,20793,841,10,166,21,N,15,0.0,49,01:35.8,199.3,+9 Laps,glock,3/18/1982,German,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,virgin,British,21.0,1,18,23792,Australian Grand Prix,Dry,
41,41,20792,841,816,166,22,14,14,0.0,54,01:34.5,201.969,+4 Laps,ambrosio,12/27/1985,Belgian,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,virgin,British,22.0,2,38,26446,Australian Grand Prix,Dry,
43,43,20799,841,155,15,9,D,21,0.0,58,01:30.4,211.218,Disqualified,kobayashi,9/13/1986,Japanese,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,sauber,Swiss,9.0,2,32,24192,Australian Grand Prix,Dry,
44,44,20800,841,815,15,13,D,22,0.0,58,01:30.0,212.209,Disqualified,perez,1/26/1990,Mexican,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,sauber,Swiss,13.0,1,23,23438,Australian Grand Prix,Dry,
46,46,21234,860,1,1,1,3,3,15.0,58,01:29.5,213.214,Finished,hamilton,1/7/1985,British,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,mclaren,British,1.0,2,36,23464,Australian Grand Prix,Dry,5.0
48,48,21232,860,18,1,2,1,1,25.0,58,01:29.2,214.053,Finished,button,1/19/1980,British,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,mclaren,British,2.0,2,36,22837,Australian Grand Prix,Dry,5.0
50,50,21244,860,813,3,8,13,13,0.0,57,01:30.3,211.523,Accident,maldonado,3/9/1985,Venezuelan,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,williams,British,8.0,2,37,23166,Australian Grand Prix,Dry,5.0
53,53,21247,860,811,3,14,16,16,0.0,52,01:30.9,210.123,Collision,bruno_senna,10/15/1983,Brazilian,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,williams,British,14.0,3,47,30888,Australian Grand Prix,Dry,5.0
55,55,21236,860,4,6,12,5,5,10.0,58,01:30.3,211.469,Finished,alonso,7/29/1981,Spanish,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,ferrari,Italian,12.0,2,34,21910,Australian Grand Prix,Dry,5.0
58,58,21248,860,13,6,16,R,17,0.0,46,01:31.9,207.644,Collision,massa,4/25/1981,Brazilian,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,ferrari,Italian,16.0,3,37,22103,Australian Grand Prix,Dry,5.0
60,60,21235,860,17,9,5,4,4,12.0,58,01:29.4,213.452,Finished,webber,8/27/1976,Australian,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,red_bull,Austrian,5.0,2,37,22915,Australian Grand Prix,Dry,5.0
62,62,21233,860,20,9,6,2,2,18.0,58,01:29.4,213.503,Finished,vettel,7/3/1987,German,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,red_bull,Austrian,6.0,2,37,24131,Australian Grand Prix,Dry,5.0
65,65,21240,860,817,5,10,9,9,2.0,58,01:30.6,210.733,Finished,ricciardo,7/1/1989,Australian,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,toro_rosso,Italian,10.0,3,38,24348,Australian Grand Prix,Dry,5.0
67,67,21242,860,818,5,11,11,11,0.0,58,01:30.3,211.476,Finished,vergne,4/25/1990,French,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,toro_rosso,Italian,11.0,2,37,23569,Australian Grand Prix,Dry,5.0
69,69,21241,860,814,10,15,10,10,1.0,58,01:30.6,210.703,Finished,resta,4/16/1986,British,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,force_india,Indian,15.0,2,33,24579,Australian Grand Prix,Dry,5.0
71,71,21243,860,3,131,7,12,12,0.0,58,01:30.9,209.948,Finished,rosberg,6/27/1985,German,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,mercedes,German,7.0,2,31,23017,Australian Grand Prix,Dry,5.0
73,73,21237,860,155,15,13,6,6,8.0,58,01:30.6,210.668,Finished,kobayashi,9/13/1986,Japanese,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,sauber,Swiss,13.0,2,36,24162,Australian Grand Prix,Dry,5.0
74,74,21239,860,815,15,22,8,8,4.0,58,01:30.8,210.151,Finished,perez,1/26/1990,Mexican,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,sauber,Swiss,17.0,1,24,23882,Australian Grand Prix,Dry,5.0
77,77,21249,860,5,207,18,R,18,0.0,38,01:33.7,203.759,Suspension,kovalainen,10/19/1981,Finnish,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,caterham,Malaysian,19.0,3,37,28888,Australian Grand Prix,Dry,5.0
78,78,21250,860,808,207,19,R,19,0.0,34,01:33.2,204.806,Steering,petrov,9/8/1984,Russian,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,caterham,Malaysian,20.0,1,18,24579,Australian Grand Prix,Dry,5.0
80,80,21238,860,8,208,17,7,7,6.0,58,01:30.8,210.346,Finished,raikkonen,10/17/1979,Finnish,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,lotus_f1,British,18.0,2,37,23310,Australian Grand Prix,Dry,5.0
82,82,21245,860,10,206,20,14,14,0.0,57,01:34.3,202.548,+1 Lap,glock,3/18/1982,German,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,marussia,Russian,21.0,2,36,25046,Australian Grand Prix,Dry,5.0
85,85,21246,860,819,206,21,15,15,0.0,53,01:35.0,200.932,+5 Laps,pic,2/15/1990,French,2012,1,Australian Grand Prix,3/18/2012,albert_park,Melbourne,Australia,marussia,Russian,22.0,3,51,17088,Australian Grand Prix,Dry,5.0
88,88,21720,880,18,1,10,9,9,2.0,58,01:30.2,211.654,Finished,button,1/19/1980,British,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,mclaren,British,10.0,3,37,21538,Australian Grand Prix,Dry,
91,91,21722,880,815,1,15,11,11,0.0,58,01:29.9,212.294,Finished,perez,1/26/1990,Mexican,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,mclaren,British,15.0,3,41,21705,Australian Grand Prix,Dry,
92,92,21732,880,813,3,17,R,21,0.0,24,01:32.9,205.465,Spun off,maldonado,3/9/1985,Venezuelan,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,williams,British,17.0,1,10,23099,Australian Grand Prix,Dry,
95,95,21725,880,822,3,16,14,14,0.0,57,01:30.7,210.594,+1 Lap,bottas,8/28/1989,Finnish,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,williams,British,16.0,3,40,24060,Australian Grand Prix,Dry,
98,98,21713,880,4,6,5,2,2,18.0,58,01:29.6,213.162,Finished,alonso,7/29/1981,Spanish,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,ferrari,Italian,5.0,3,39,21704,Australian Grand Prix,Dry,
101,101,21715,880,13,6,4,4,4,12.0,58,01:30.2,211.558,Finished,massa,4/25/1981,Brazilian,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,ferrari,Italian,4.0,3,36,21509,Australian Grand Prix,Dry,
104,104,21717,880,17,9,2,6,6,8.0,58,01:29.7,212.753,Finished,webber,8/27/1976,Australian,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,red_bull,Austrian,2.0,3,38,21515,Australian Grand Prix,Dry,
107,107,21714,880,20,9,1,3,3,15.0,58,01:30.4,211.16,Finished,vettel,7/3/1987,German,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,red_bull,Austrian,1.0,3,37,21596,Australian Grand Prix,Dry,
109,109,21730,880,817,5,14,R,19,0.0,39,01:30.9,210.063,Hydraulics,ricciardo,7/1/1989,Australian,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,toro_rosso,Italian,14.0,2,30,24177,Australian Grand Prix,Dry,
112,112,21723,880,818,5,13,12,12,0.0,58,01:29.5,213.309,Finished,vergne,4/25/1990,French,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,toro_rosso,Italian,13.0,3,44,23160,Australian Grand Prix,Dry,
114,114,21718,880,16,10,12,7,7,6.0,58,01:30.7,210.459,Finished,sutil,1/11/1983,German,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,force_india,Indian,12.0,2,46,22749,Australian Grand Prix,Dry,
116,116,21719,880,814,10,9,8,8,4.0,58,01:30.9,210.033,Finished,resta,4/16/1986,British,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,force_india,Indian,9.0,2,33,23051,Australian Grand Prix,Dry,
119,119,21716,880,1,131,3,5,5,10.0,58,01:29.8,212.689,Finished,hamilton,1/7/1985,British,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,mercedes,German,3.0,3,42,21778,Australian Grand Prix,Dry,
120,120,21731,880,3,131,6,R,20,0.0,26,01:32.3,206.926,Electrical,rosberg,6/27/1985,German,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,mercedes,German,6.0,1,14,22274,Australian Grand Prix,Dry,
122,122,21724,880,821,15,18,13,13,0.0,57,01:31.4,208.836,+1 Lap,gutierrez,8/5/1991,Mexican,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,sauber,Swiss,18.0,2,27,22315,Australian Grand Prix,Dry,
124,124,21727,880,819,207,22,16,16,0.0,56,01:32.3,206.921,+2 Laps,pic,2/15/1990,French,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,caterham,Malaysian,22.0,2,33,23509,Australian Grand Prix,Dry,
127,127,21729,880,823,207,21,18,18,0.0,56,01:32.6,206.084,+2 Laps,garde,4/25/1985,Dutch,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,caterham,Malaysian,21.0,3,34,23917,Australian Grand Prix,Dry,
129,129,21712,880,8,208,7,1,1,25.0,58,01:29.3,213.845,Finished,raikkonen,10/17/1979,Finnish,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,lotus_f1,British,7.0,2,34,22181,Australian Grand Prix,Dry,
132,132,21721,880,154,208,8,10,10,1.0,58,01:30.4,211.193,Finished,grosjean,4/17/1986,French,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,lotus_f1,British,8.0,3,37,22534,Australian Grand Prix,Dry,
135,135,21728,880,820,206,20,17,17,0.0,56,01:32.2,207.036,+2 Laps,chilton,4/21/1991,British,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,marussia,Russian,20.0,3,34,22948,Australian Grand Prix,Dry,
138,138,21726,880,824,206,19,15,15,0.0,57,01:30.5,211.055,+1 Lap,jules_bianchi,8/3/1989,French,2013,1,Australian Grand Prix,3/17/2013,albert_park,Melbourne,Australia,marussia,Russian,19.0,3,50,22669,Australian Grand Prix,Dry,
139,139,22548,926,18,1,16,11,11,0.0,56,01:33.3,204.534,+2 Laps,button,1/19/1980,British,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,mclaren,British,17.0,1,27,23353,Australian Grand Prix,Dry,3.0
140,140,22541,926,13,3,3,4,4,12.0,58,01:31.7,208.144,Finished,massa,4/25/1981,Brazilian,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,williams,British,3.0,1,21,22062,Australian Grand Prix,Dry,3.0
142,142,22549,926,8,6,5,R,12,0.0,40,01:31.4,208.811,Wheel,raikkonen,10/17/1979,Finnish,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,ferrari,Italian,5.0,2,40,22405,Australian Grand Prix,Dry,3.0
143,143,22540,926,20,6,4,3,3,15.0,58,01:31.5,208.74,Finished,vettel,7/3/1987,German,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,ferrari,Italian,4.0,1,24,22694,Australian Grand Prix,Dry,3.0
144,144,22543,926,817,9,6,6,6,8.0,57,01:32.8,205.726,+1 Lap,ricciardo,7/1/1989,Australian,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,red_bull,Austrian,7.0,1,23,22535,Australian Grand Prix,Dry,3.0
145,145,22550,926,830,5,11,R,13,0.0,32,01:34.3,202.458,Engine,max_verstappen,9/30/1997,Dutch,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,toro_rosso,Italian,12.0,1,32,23532,Australian Grand Prix,Dry,3.0
146,146,22546,926,832,5,7,9,9,2.0,57,01:32.9,205.56,+1 Lap,sainz,9/1/1994,Spanish,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,toro_rosso,Italian,8.0,1,24,55789,Australian Grand Prix,Dry,3.0
148,148,22544,926,807,10,13,7,7,6.0,57,01:32.0,207.576,+1 Lap,hulkenberg,8/19/1987,German,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,force_india,Indian,14.0,2,44,21612,Australian Grand Prix,Dry,3.0
149,149,22547,926,815,10,14,10,10,1.0,57,01:32.0,207.601,+1 Lap,perez,1/26/1990,Mexican,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,force_india,Indian,15.0,1,38,26009,Australian Grand Prix,Dry,3.0
150,150,22538,926,1,131,1,1,1,25.0,58,01:30.9,209.915,Finished,hamilton,1/7/1985,British,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,mercedes,German,1.0,1,25,22295,Australian Grand Prix,Dry,3.0
151,151,22539,926,3,131,2,2,2,18.0,58,01:31.1,209.577,Finished,rosberg,6/27/1985,German,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,mercedes,German,2.0,1,26,22105,Australian Grand Prix,Dry,3.0
154,154,22545,926,828,15,15,8,8,4.0,57,01:31.6,208.505,+1 Lap,ericsson,9/2/1990,Swedish,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,sauber,Swiss,16.0,3,43,22353,Australian Grand Prix,Dry,3.0
155,155,22542,926,831,15,10,5,5,10.0,58,01:32.6,206.137,Finished,nasr,8/21/1992,Brazilian,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,sauber,Swiss,11.0,1,25,22933,Australian Grand Prix,Dry,3.0
156,156,22937,948,4,1,11,R,21,0.0,16,01:32.6,206.268,Collision,alonso,7/29/1981,Spanish,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,mclaren,British,12.0,1,12,21796,Australian Grand Prix,Dry,3.0
159,159,22930,948,18,1,12,14,14,0.0,56,01:31.7,208.223,+1 Lap,button,1/19/1980,British,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,mclaren,British,13.0,3,30,21837,Australian Grand Prix,Dry,3.0
161,161,22921,948,13,3,6,5,5,10.0,57,01:32.3,206.861,Finished,massa,4/25/1981,Brazilian,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,williams,British,6.0,2,18,1089805,Australian Grand Prix,Dry,3.0
163,163,22924,948,822,3,16,8,8,4.0,57,01:32.7,205.886,Finished,bottas,8/28/1989,Finnish,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,williams,British,11.0,2,18,1088989,Australian Grand Prix,Dry,3.0
166,166,22928,948,825,4,14,12,12,0.0,57,01:32.5,206.494,Finished,kevin_magnussen,10/5/1992,Danish,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,renault,French,15.0,3,17,946318,Australian Grand Prix,Dry,3.0
168,168,22927,948,835,4,13,11,11,0.0,57,01:33.0,205.376,Finished,jolyon_palmer,1/20/1991,British,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,renault,French,14.0,2,18,1088294,Australian Grand Prix,Dry,3.0
170,170,22934,948,8,6,4,R,18,0.0,21,01:30.7,210.48,Engine,raikkonen,10/17/1979,Finnish,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,ferrari,Italian,4.0,2,18,1089365,Australian Grand Prix,Dry,3.0
173,173,22919,948,20,6,3,3,3,15.0,57,01:30.0,212.235,Finished,vettel,7/3/1987,German,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,ferrari,Italian,3.0,3,35,24548,Australian Grand Prix,Dry,3.0
176,176,22920,948,817,9,8,4,4,12.0,57,01:29.0,214.51,Finished,ricciardo,7/1/1989,Australian,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,red_bull,Austrian,8.0,3,42,21981,Australian Grand Prix,Dry,3.0
179,179,22926,948,830,5,5,10,10,1.0,57,01:31.5,208.606,Finished,max_verstappen,9/30/1997,Dutch,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,toro_rosso,Italian,5.0,3,32,29066,Australian Grand Prix,Dry,3.0
182,182,22925,948,832,5,7,9,9,2.0,57,01:31.7,208.253,Finished,sainz,9/1/1994,Spanish,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,toro_rosso,Italian,7.0,3,31,22392,Australian Grand Prix,Dry,3.0
184,184,22923,948,807,10,10,7,7,6.0,57,01:32.8,205.646,Finished,hulkenberg,8/19/1987,German,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,force_india,Indian,10.0,2,18,1089155,Australian Grand Prix,Dry,3.0
186,186,22929,948,815,10,9,13,13,0.0,57,01:32.8,205.764,Finished,perez,1/26/1990,Mexican,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,force_india,Indian,9.0,2,18,1087311,Australian Grand Prix,Dry,3.0
188,188,22918,948,1,131,1,2,2,18.0,57,01:30.6,210.608,Finished,hamilton,1/7/1985,British,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,mercedes,German,1.0,2,18,1090087,Australian Grand Prix,Dry,3.0
190,190,22917,948,3,131,2,1,1,25.0,57,01:30.6,210.815,Finished,rosberg,6/27/1985,German,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,mercedes,German,2.0,2,18,1089303,Australian Grand Prix,Dry,3.0
193,193,22933,948,828,15,15,R,17,0.0,38,01:33.9,203.327,Engine,ericsson,9/2/1990,Swedish,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,sauber,Swiss,16.0,3,27,16936,Australian Grand Prix,Dry,3.0
195,195,22931,948,831,15,17,15,15,0.0,56,01:32.7,205.917,+1 Lap,nasr,8/21/1992,Brazilian,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,sauber,Swiss,17.0,2,18,1082337,Australian Grand Prix,Dry,3.0
196,196,22922,948,154,210,19,6,6,8.0,57,01:32.9,205.582,Finished,grosjean,4/17/1986,French,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,haas,American,19.0,1,18,1089417,Australian Grand Prix,Dry,3.0
199,199,22932,948,836,209,21,16,16,0.0,56,01:32.7,206.001,+1 Lap,wehrlein,10/18/1994,German,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,manor,British,22.0,3,32,23895,Australian Grand Prix,Dry,3.0
200,200,22935,948,837,209,22,R,19,0.0,17,01:33.8,203.424,Mechanical,haryanto,1/22/1993,Indonesian,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,manor,British,21.0,1,12,23224,Australian Grand Prix,Dry,3.0
201,201,23392,969,4,1,12,R,14,0.0,50,01:30.1,211.938,Vibrations,alonso,7/29/1981,Spanish,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,mclaren,British,13.0,1,16,22484,Australian Grand Prix,Dry,
202,202,23391,969,838,1,18,13,13,0.0,55,01:29.4,213.448,+2 Laps,vandoorne,3/26/1992,Belgian,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,mclaren,British,18.0,1,9,39562,Australian Grand Prix,Dry,
203,203,23384,969,13,3,7,6,6,8.0,57,01:28.0,216.83,Finished,massa,4/25/1981,Brazilian,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,williams,British,7.0,1,20,21568,Australian Grand Prix,Dry,
205,205,23394,969,840,3,20,R,16,0.0,40,01:29.4,213.569,Brakes,stroll,10/29/1998,Canadian,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,williams,British,19.0,2,29,22380,Australian Grand Prix,Dry,
207,207,23389,969,807,4,11,11,11,0.0,56,01:28.5,215.749,+1 Lap,hulkenberg,8/19/1987,German,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,renault,French,12.0,2,30,23159,Australian Grand Prix,Dry,
208,208,23382,969,8,6,4,4,4,12.0,57,01:26.5,220.605,Finished,raikkonen,10/17/1979,Finnish,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,ferrari,Italian,4.0,1,26,22033,Australian Grand Prix,Dry,
209,209,23379,969,20,6,2,1,1,25.0,57,01:26.6,220.351,Finished,vettel,7/3/1987,German,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,ferrari,Italian,2.0,1,23,21988,Australian Grand Prix,Dry,
210,210,23383,969,830,9,5,5,5,10.0,57,01:27.0,219.525,Finished,max_verstappen,9/30/1997,Dutch,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,red_bull,Austrian,5.0,1,25,22208,Australian Grand Prix,Dry,
212,212,23387,969,826,5,9,9,9,2.0,56,01:26.7,220.165,+1 Lap,kvyat,4/26/1994,Russian,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,toro_rosso,Italian,9.0,2,49,24026,Australian Grand Prix,Dry,
213,213,23386,969,832,5,8,8,8,4.0,56,01:27.7,217.74,+1 Lap,sainz,9/1/1994,Spanish,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,toro_rosso,Italian,8.0,1,18,21762,Australian Grand Prix,Dry,
214,214,23385,969,815,10,10,7,7,6.0,56,01:28.3,216.115,+1 Lap,perez,1/26/1990,Mexican,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,force_india,Indian,11.0,1,17,22045,Australian Grand Prix,Dry,
215,215,23388,969,839,10,13,10,10,1.0,56,01:28.5,215.776,+1 Lap,ocon,9/17/1996,French,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,force_india,Indian,14.0,1,15,22154,Australian Grand Prix,Dry,
216,216,23380,969,1,131,1,2,2,18.0,57,01:27.0,219.351,Finished,hamilton,1/7/1985,British,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,mercedes,German,1.0,1,17,21709,Australian Grand Prix,Dry,
