,resultId,raceId,driverId,constructorId,grid,positionText,positionOrder,points,laps,fastestLapTime,fastestLapSpeed,status,driverRef,dob,nationality_x,year,round,name_x,date,circuitRef,location,country,constructorRef,nationality_y,position_quali,stop,lap,milliseconds,name_x,clusters,name_y,weather,SC Laps
10,22538,926,1,131,1,1,1,25.0,58,01:30.9,209.915,Finished,hamilton,1/7/1985,British,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,mercedes,German,1.0,1,25,22295,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
11,22539,926,3,131,2,2,2,18.0,58,01:31.1,209.577,Finished,rosberg,6/27/1985,German,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,mercedes,German,2.0,1,26,22105,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
12,22545,926,828,15,15,8,8,4.0,57,01:31.6,208.505,+1 Lap,ericsson,9/2/1990,Swedish,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,sauber,Swiss,16.0,1,1,22681,Australian Grand Prix,2,Australian Grand Prix,Dry,3.0
13,22545,926,828,15,15,8,8,4.0,57,01:31.6,208.505,+1 Lap,ericsson,9/2/1990,Swedish,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,sauber,Swiss,16.0,2,26,23254,Australian Grand Prix,2,Australian Grand Prix,Dry,3.0
14,22545,926,828,15,15,8,8,4.0,57,01:31.6,208.505,+1 Lap,ericsson,9/2/1990,Swedish,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,sauber,Swiss,16.0,3,43,22353,Australian Grand Prix,2,Australian Grand Prix,Dry,3.0
15,22542,926,831,15,10,5,5,10.0,58,01:32.6,206.137,Finished,nasr,8/21/1992,Brazilian,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,sauber,Swiss,11.0,1,25,22933,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
16,22937,948,4,1,11,R,21,0.0,16,01:32.6,206.268,Collision,alonso,7/29/1981,Spanish,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,mclaren,British,12.0,1,12,21796,Australian Grand Prix,3,Australian Grand Prix,Dry,3.0
17,22930,948,18,1,12,14,14,0.0,56,01:31.7,208.223,+1 Lap,button,1/19/1980,British,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,mclaren,British,13.0,1,15,22616,Australian Grand Prix,2,Australian Grand Prix,Dry,3.0
18,22930,948,18,1,12,14,14,0.0,56,01:31.7,208.223,+1 Lap,button,1/19/1980,British,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,mclaren,British,13.0,2,18,1084466,Australian Grand Prix,2,Australian Grand Prix,Dry,3.0
19,22930,948,18,1,12,14,14,0.0,56,01:31.7,208.223,+1 Lap,button,1/19/1980,British,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,mclaren,British,13.0,3,30,21837,Australian Grand Prix,2,Australian Grand Prix,Dry,3.0
20,22921,948,13,3,6,5,5,10.0,57,01:32.3,206.861,Finished,massa,4/25/1981,Brazilian,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,williams,British,6.0,1,11,21550,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
21,22921,948,13,3,6,5,5,10.0,57,01:32.3,206.861,Finished,massa,4/25/1981,Brazilian,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,williams,British,6.0,2,18,1089805,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
22,22924,948,822,3,16,8,8,4.0,57,01:32.7,205.886,Finished,bottas,8/28/1989,Finnish,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,williams,British,11.0,1,17,21376,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
23,22924,948,822,3,16,8,8,4.0,57,01:32.7,205.886,Finished,bottas,8/28/1989,Finnish,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,williams,British,11.0,2,18,1088989,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
24,22934,948,8,6,4,R,18,0.0,21,01:30.7,210.48,Engine,raikkonen,10/17/1979,Finnish,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,ferrari,Italian,4.0,1,16,22508,Australian Grand Prix,3,Australian Grand Prix,Dry,3.0
25,22934,948,8,6,4,R,18,0.0,21,01:30.7,210.48,Engine,raikkonen,10/17/1979,Finnish,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,ferrari,Italian,4.0,2,18,1089365,Australian Grand Prix,3,Australian Grand Prix,Dry,3.0
26,22919,948,20,6,3,3,3,15.0,57,01:30.0,212.235,Finished,vettel,7/3/1987,German,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,ferrari,Italian,3.0,1,13,21339,Australian Grand Prix,3,Australian Grand Prix,Dry,3.0
27,22919,948,20,6,3,3,3,15.0,57,01:30.0,212.235,Finished,vettel,7/3/1987,German,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,ferrari,Italian,3.0,2,18,1089312,Australian Grand Prix,3,Australian Grand Prix,Dry,3.0
28,22919,948,20,6,3,3,3,15.0,57,01:30.0,212.235,Finished,vettel,7/3/1987,German,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,ferrari,Italian,3.0,3,35,24548,Australian Grand Prix,3,Australian Grand Prix,Dry,3.0
29,22920,948,817,9,8,4,4,12.0,57,01:29.0,214.51,Finished,ricciardo,7/1/1989,Australian,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,red_bull,Austrian,8.0,1,12,22245,Australian Grand Prix,3,Australian Grand Prix,Dry,3.0
30,22920,948,817,9,8,4,4,12.0,57,01:29.0,214.51,Finished,ricciardo,7/1/1989,Australian,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,red_bull,Austrian,8.0,2,18,1089822,Australian Grand Prix,3,Australian Grand Prix,Dry,3.0
31,22920,948,817,9,8,4,4,12.0,57,01:29.0,214.51,Finished,ricciardo,7/1/1989,Australian,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,red_bull,Austrian,8.0,3,42,21981,Australian Grand Prix,3,Australian Grand Prix,Dry,3.0
32,22925,948,832,5,7,9,9,2.0,57,01:31.7,208.253,Finished,sainz,9/1/1994,Spanish,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,toro_rosso,Italian,7.0,1,8,22414,Australian Grand Prix,2,Australian Grand Prix,Dry,3.0
33,22925,948,832,5,7,9,9,2.0,57,01:31.7,208.253,Finished,sainz,9/1/1994,Spanish,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,toro_rosso,Italian,7.0,2,18,1089971,Australian Grand Prix,2,Australian Grand Prix,Dry,3.0
34,22925,948,832,5,7,9,9,2.0,57,01:31.7,208.253,Finished,sainz,9/1/1994,Spanish,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,toro_rosso,Italian,7.0,3,31,22392,Australian Grand Prix,2,Australian Grand Prix,Dry,3.0
35,22923,948,807,10,10,7,7,6.0,57,01:32.8,205.646,Finished,hulkenberg,8/19/1987,German,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,force_india,Indian,10.0,1,16,22167,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
36,22923,948,807,10,10,7,7,6.0,57,01:32.8,205.646,Finished,hulkenberg,8/19/1987,German,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,force_india,Indian,10.0,2,18,1089155,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
37,22929,948,815,10,9,13,13,0.0,57,01:32.8,205.764,Finished,perez,1/26/1990,Mexican,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,force_india,Indian,9.0,1,16,24719,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
38,22929,948,815,10,9,13,13,0.0,57,01:32.8,205.764,Finished,perez,1/26/1990,Mexican,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,force_india,Indian,9.0,2,18,1087311,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
39,22918,948,1,131,1,2,2,18.0,57,01:30.6,210.608,Finished,hamilton,1/7/1985,British,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,mercedes,German,1.0,1,16,21940,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
40,22918,948,1,131,1,2,2,18.0,57,01:30.6,210.608,Finished,hamilton,1/7/1985,British,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,mercedes,German,1.0,2,18,1090087,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
41,22917,948,3,131,2,1,1,25.0,57,01:30.6,210.815,Finished,rosberg,6/27/1985,German,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,mercedes,German,2.0,1,12,21531,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
42,22917,948,3,131,2,1,1,25.0,57,01:30.6,210.815,Finished,rosberg,6/27/1985,German,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,mercedes,German,2.0,2,18,1089303,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
43,22933,948,828,15,15,R,17,0.0,38,01:33.9,203.327,Engine,ericsson,9/2/1990,Swedish,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,sauber,Swiss,16.0,1,11,22357,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
44,22933,948,828,15,15,R,17,0.0,38,01:33.9,203.327,Engine,ericsson,9/2/1990,Swedish,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,sauber,Swiss,16.0,2,18,1086875,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
45,22933,948,828,15,15,R,17,0.0,38,01:33.9,203.327,Engine,ericsson,9/2/1990,Swedish,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,sauber,Swiss,16.0,3,27,16936,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
46,22931,948,831,15,17,15,15,0.0,56,01:32.7,205.917,+1 Lap,nasr,8/21/1992,Brazilian,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,sauber,Swiss,17.0,1,10,22701,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
47,22931,948,831,15,17,15,15,0.0,56,01:32.7,205.917,+1 Lap,nasr,8/21/1992,Brazilian,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,sauber,Swiss,17.0,2,18,1082337,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
48,22922,948,154,210,19,6,6,8.0,57,01:32.9,205.582,Finished,grosjean,4/17/1986,French,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,haas,American,19.0,1,18,1089417,Australian Grand Prix,4,Australian Grand Prix,Dry,3.0
49,22932,948,836,209,21,16,16,0.0,56,01:32.7,206.001,+1 Lap,wehrlein,10/18/1994,German,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,manor,British,22.0,1,11,26206,Australian Grand Prix,2,Australian Grand Prix,Dry,3.0
50,22932,948,836,209,21,16,16,0.0,56,01:32.7,206.001,+1 Lap,wehrlein,10/18/1994,German,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,manor,British,22.0,2,18,1082140,Australian Grand Prix,2,Australian Grand Prix,Dry,3.0
51,22932,948,836,209,21,16,16,0.0,56,01:32.7,206.001,+1 Lap,wehrlein,10/18/1994,German,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,manor,British,22.0,3,32,23895,Australian Grand Prix,2,Australian Grand Prix,Dry,3.0
52,22935,948,837,209,22,R,19,0.0,17,01:33.8,203.424,Mechanical,haryanto,1/22/1993,Indonesian,2016,1,Australian Grand Prix,3/20/2016,albert_park,Melbourne,Australia,manor,British,21.0,1,12,23224,Australian Grand Prix,3,Australian Grand Prix,Dry,3.0
53,23392,969,4,1,12,R,14,0.0,50,01:30.1,211.938,Vibrations,alonso,7/29/1981,Spanish,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,mclaren,British,13.0,1,16,22484,Australian Grand Prix,3,Australian Grand Prix,Dry,
54,23384,969,13,3,7,6,6,8.0,57,01:28.0,216.83,Finished,massa,4/25/1981,Brazilian,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,williams,British,7.0,1,20,21568,Australian Grand Prix,1,Australian Grand Prix,Dry,
55,23389,969,807,4,11,11,11,0.0,56,01:28.5,215.749,+1 Lap,hulkenberg,8/19/1987,German,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,renault,French,12.0,1,16,23130,Australian Grand Prix,1,Australian Grand Prix,Dry,
56,23389,969,807,4,11,11,11,0.0,56,01:28.5,215.749,+1 Lap,hulkenberg,8/19/1987,German,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,renault,French,12.0,2,30,23159,Australian Grand Prix,1,Australian Grand Prix,Dry,
57,23382,969,8,6,4,4,4,12.0,57,01:26.5,220.605,Finished,raikkonen,10/17/1979,Finnish,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,ferrari,Italian,4.0,1,26,22033,Australian Grand Prix,3,Australian Grand Prix,Dry,
58,23379,969,20,6,2,1,1,25.0,57,01:26.6,220.351,Finished,vettel,7/3/1987,German,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,ferrari,Italian,2.0,1,23,21988,Australian Grand Prix,3,Australian Grand Prix,Dry,
59,23386,969,832,5,8,8,8,4.0,56,01:27.7,217.74,+1 Lap,sainz,9/1/1994,Spanish,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,toro_rosso,Italian,8.0,1,18,21762,Australian Grand Prix,2,Australian Grand Prix,Dry,
60,23385,969,815,10,10,7,7,6.0,56,01:28.3,216.115,+1 Lap,perez,1/26/1990,Mexican,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,force_india,Indian,11.0,1,17,22045,Australian Grand Prix,1,Australian Grand Prix,Dry,
61,23380,969,1,131,1,2,2,18.0,57,01:27.0,219.351,Finished,hamilton,1/7/1985,British,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,mercedes,German,1.0,1,17,21709,Australian Grand Prix,1,Australian Grand Prix,Dry,
62,23381,969,822,131,3,3,3,15.0,57,01:26.6,220.465,Finished,bottas,8/28/1989,Finnish,2017,1,Australian Grand Prix,3/26/2017,albert_park,Melbourne,Australia,mercedes,German,3.0,1,25,21440,Australian Grand Prix,1,Australian Grand Prix,Dry,
63,22573,927,4,1,18,R,18,0.0,21,01:48.5,183.983,ERS,alonso,7/29/1981,Spanish,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,mclaren,British,18.0,1,4,25222,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
64,22572,927,18,1,17,R,17,0.0,41,01:46.1,188.153,Turbo,button,1/19/1980,British,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,mclaren,British,17.0,1,4,33027,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
65,22572,927,18,1,17,R,17,0.0,41,01:46.1,188.153,Turbo,button,1/19/1980,British,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,mclaren,British,17.0,2,21,25581,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
66,22572,927,18,1,17,R,17,0.0,41,01:46.1,188.153,Turbo,button,1/19/1980,British,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,mclaren,British,17.0,3,35,25846,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
67,22561,927,13,3,7,6,6,8.0,56,01:44.0,191.891,Finished,massa,4/25/1981,Brazilian,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,williams,British,7.0,1,4,25831,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
68,22561,927,13,3,7,6,6,8.0,56,01:44.0,191.891,Finished,massa,4/25/1981,Brazilian,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,williams,British,7.0,2,24,24788,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
69,22561,927,13,3,7,6,6,8.0,56,01:44.0,191.891,Finished,massa,4/25/1981,Brazilian,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,williams,British,7.0,3,38,26971,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
70,22560,927,822,3,8,5,5,10.0,56,01:44.1,191.71,Finished,bottas,8/28/1989,Finnish,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,williams,British,9.0,1,4,30154,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
71,22560,927,822,3,8,5,5,10.0,56,01:44.1,191.71,Finished,bottas,8/28/1989,Finnish,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,williams,British,9.0,2,25,24432,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
72,22560,927,822,3,8,5,5,10.0,56,01:44.1,191.71,Finished,bottas,8/28/1989,Finnish,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,williams,British,9.0,3,40,25002,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
73,22559,927,8,6,11,4,4,12.0,56,01:44.1,191.644,Finished,raikkonen,10/17/1979,Finnish,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,ferrari,Italian,11.0,1,2,27285,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
74,22559,927,8,6,11,4,4,12.0,56,01:44.1,191.644,Finished,raikkonen,10/17/1979,Finnish,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,ferrari,Italian,11.0,2,14,24744,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
75,22559,927,8,6,11,4,4,12.0,56,01:44.1,191.644,Finished,raikkonen,10/17/1979,Finnish,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,ferrari,Italian,11.0,3,34,24653,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
76,22556,927,20,6,2,1,1,25.0,56,01:43.6,193.501,Finished,vettel,7/3/1987,German,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,ferrari,Italian,2.0,1,17,23996,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
77,22556,927,20,6,2,1,1,25.0,56,01:43.6,193.501,Finished,vettel,7/3/1987,German,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,ferrari,Italian,2.0,2,37,25092,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
78,22565,927,817,9,4,10,10,1.0,55,01:45.3,189.482,+1 Lap,ricciardo,7/1/1989,Australian,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,red_bull,Austrian,4.0,1,4,26714,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
79,22565,927,817,9,4,10,10,1.0,55,01:45.3,189.482,+1 Lap,ricciardo,7/1/1989,Australian,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,red_bull,Austrian,4.0,2,18,25604,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
80,22565,927,817,9,4,10,10,1.0,55,01:45.3,189.482,+1 Lap,ricciardo,7/1/1989,Australian,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,red_bull,Austrian,4.0,3,34,25393,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
81,22564,927,826,9,5,9,9,2.0,55,01:44.5,190.929,+1 Lap,kvyat,4/26/1994,Russian,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,red_bull,Austrian,5.0,1,4,30463,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
82,22564,927,826,9,5,9,9,2.0,55,01:44.5,190.929,+1 Lap,kvyat,4/26/1994,Russian,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,red_bull,Austrian,5.0,2,21,24781,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
83,22564,927,826,9,5,9,9,2.0,55,01:44.5,190.929,+1 Lap,kvyat,4/26/1994,Russian,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,red_bull,Austrian,5.0,3,39,26149,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
84,22563,927,832,5,15,8,8,4.0,55,01:45.5,189.132,+1 Lap,sainz,9/1/1994,Spanish,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,toro_rosso,Italian,15.0,1,14,25126,Malaysian Grand Prix,1,Malaysian Grand Prix,Dry,2.0
85,22563,927,832,5,15,8,8,4.0,55,01:45.5,189.132,+1 Lap,sainz,9/1/1994,Spanish,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,toro_rosso,Italian,15.0,2,32,25165,Malaysian Grand Prix,1,Malaysian Grand Prix,Dry,2.0
86,22569,927,807,10,13,14,14,0.0,55,01:44.8,190.368,+1 Lap,hulkenberg,8/19/1987,German,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,force_india,Indian,13.0,1,15,25826,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
87,22569,927,807,10,13,14,14,0.0,55,01:44.8,190.368,+1 Lap,hulkenberg,8/19/1987,German,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,force_india,Indian,13.0,2,31,25047,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
88,22569,927,807,10,13,14,14,0.0,55,01:44.8,190.368,+1 Lap,hulkenberg,8/19/1987,German,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,force_india,Indian,13.0,3,44,35351,Malaysian Grand Prix,2,Malaysian Grand Prix,Dry,2.0
89,22568,927,815,10,14,13,13,0.0,55,01:45.3,189.423,+1 Lap,perez,1/26/1990,Mexican,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,force_india,Indian,14.0,1,17,25268,Malaysian Grand Prix,1,Malaysian Grand Prix,Dry,2.0
90,22568,927,815,10,14,13,13,0.0,55,01:45.3,189.423,+1 Lap,perez,1/26/1990,Mexican,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,force_india,Indian,14.0,2,35,35776,Malaysian Grand Prix,1,Malaysian Grand Prix,Dry,2.0
91,22557,927,1,131,1,2,2,18.0,56,01:43.1,193.501,Finished,hamilton,1/7/1985,British,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,mercedes,German,1.0,1,4,26094,Malaysian Grand Prix,1,Malaysian Grand Prix,Dry,2.0
92,22557,927,1,131,1,2,2,18.0,56,01:43.1,193.501,Finished,hamilton,1/7/1985,British,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,mercedes,German,1.0,2,24,24595,Malaysian Grand Prix,1,Malaysian Grand Prix,Dry,2.0
93,22557,927,1,131,1,2,2,18.0,56,01:43.1,193.501,Finished,hamilton,1/7/1985,British,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,mercedes,German,1.0,3,38,24179,Malaysian Grand Prix,1,Malaysian Grand Prix,Dry,2.0
94,22558,927,3,131,3,3,3,15.0,56,01:42.1,195.516,Finished,rosberg,6/27/1985,German,2015,2,Malaysian Grand Prix,3/29/2015,sepang,Kuala Lumpur,Malaysia,mercedes,German,3.0,1,4,33689,Malaysian Grand Prix,1,Malaysian Grand Prix,Dry,2.0
