,resultId,raceId,driverId,constructorId,grid,positionText,positionOrder,points,laps,fastestLapTime,fastestLapSpeed,status,driverRef,dob,nationality_x,year,round,date,circuitRef,location,country,constructorRef,nationality_y,position_quali
18,23786,989,4,1,10,5,5,10.0,58,01:27.0,219.489,Finished,alonso,7/29/1981,Spanish,2018,1,3/25/2018,albert_park,Melbourne,Australia,mclaren,British,11.0
19,23790,989,838,1,11,9,9,2.0,58,01:27.0,219.54,Finished,vandoorne,3/26/1992,Belgian,2018,1,3/25/2018,albert_park,Melbourne,Australia,mclaren,British,12.0
20,24222,1010,832,1,18,R,20,0.0,9,01:30.9,210.022,Engine,sainz,9/1/1994,Spanish,2019,1,3/17/2019,albert_park,Melbourne,Australia,mclaren,British,18.0
21,24214,1010,846,1,8,12,12,0.0,57,01:28.6,215.581,+1 Lap,norris,11/13/1999,British,2019,1,3/17/2019,albert_park,Melbourne,Australia,mclaren,British,8.0
22,22132,900,18,1,10,3,3,15.0,57,01:32.9,205.46,Finished,button,1/19/1980,British,2014,1,3/16/2014,albert_park,Melbourne,Australia,mclaren,British,11.0
23,22131,900,825,1,4,2,2,18.0,57,01:33.1,205.131,Finished,kevin_magnussen,10/5/1992,Danish,2014,1,3/16/2014,albert_park,Melbourne,Australia,mclaren,British,4.0
24,7573,1,1,1,18,D,20,0.0,58,01:29.0,214.455,Disqualified,hamilton,1/7/1985,British,2009,1,3/29/2009,albert_park,Melbourne,Australia,mclaren,British,15.0
25,7572,1,5,1,12,R,19,0.0,0,\N,\N,Collision,kovalainen,10/19/1981,Finnish,2009,1,3/29/2009,albert_park,Melbourne,Australia,mclaren,British,14.0
26,788,55,8,1,4,2,2,8.0,57,01:26.0,221.869,Finished,raikkonen,10/17/1979,Finnish,2006,3,4/2/2006,albert_park,Melbourne,Australia,mclaren,British,4.0
27,800,55,31,1,5,R,14,0.0,46,01:27.5,218.27,Electrical,montoya,9/20/1975,Colombian,2006,3,4/2/2006,albert_park,Melbourne,Australia,mclaren,British,5.0
28,2558,141,14,1,6,2,2,6.0,58,\N,\N,Finished,coulthard,3/27/1971,British,2001,1,3/4/2001,albert_park,Melbourne,Australia,mclaren,British,
29,2573,141,57,1,3,R,17,0.0,25,\N,\N,Suspension,hakkinen,9/28/1968,Finnish,2001,1,3/4/2001,albert_park,Melbourne,Australia,mclaren,British,
30,2197,124,8,1,5,3,3,4.0,58,\N,\N,Finished,raikkonen,10/17/1979,Finnish,2002,1,3/3/2002,albert_park,Melbourne,Australia,mclaren,British,
31,2203,124,14,1,4,R,9,0.0,33,\N,\N,Gearbox,coulthard,3/27/1971,British,2002,1,3/3/2002,albert_park,Melbourne,Australia,mclaren,British,
32,1146,71,8,1,10,8,8,1.0,57,01:26.3,221.329,Finished,raikkonen,10/17/1979,Finnish,2005,1,3/6/2005,albert_park,Melbourne,Australia,mclaren,British,10.0
33,1144,71,31,1,9,6,6,3.0,57,01:26.4,220.976,Finished,montoya,9/20/1975,Colombian,2005,1,3/6/2005,albert_park,Melbourne,Australia,mclaren,British,9.0
34,1534,90,8,1,10,R,20,0.0,9,01:27.9,217.098,Engine,raikkonen,10/17/1979,Finnish,2004,1,3/7/2004,albert_park,Melbourne,Australia,mclaren,British,10.0
35,1522,90,14,1,12,8,8,1.0,57,01:26.3,221.142,+1 Lap,coulthard,3/27/1971,British,2004,1,3/7/2004,albert_park,Melbourne,Australia,mclaren,British,12.0
36,2949,158,14,1,2,R,19,0.0,11,\N,\N,Engine,coulthard,3/27/1971,British,2000,1,3/12/2000,albert_park,Melbourne,Australia,mclaren,British,2.0
37,2947,158,57,1,1,R,17,0.0,18,\N,\N,Engine,hakkinen,9/28/1968,Finnish,2000,1,3/12/2000,albert_park,Melbourne,Australia,mclaren,British,1.0
38,1877,108,8,1,15,3,3,6.0,58,\N,\N,Finished,raikkonen,10/17/1979,Finnish,2003,1,3/9/2003,albert_park,Melbourne,Australia,mclaren,British,15.0
39,1875,108,14,1,11,1,1,10.0,58,\N,\N,Finished,coulthard,3/27/1971,British,2003,1,3/9/2003,albert_park,Melbourne,Australia,mclaren,British,11.0
40,3321,175,14,1,2,R,18,0.0,13,\N,\N,Hydraulics,coulthard,3/27/1971,British,1999,1,3/7/1999,albert_park,Melbourne,Australia,mclaren,British,2.0
41,3319,175,57,1,1,R,16,0.0,21,\N,\N,Throttle,hakkinen,9/28/1968,Finnish,1999,1,3/7/1999,albert_park,Melbourne,Australia,mclaren,British,1.0
42,3657,191,14,1,2,2,2,6.0,58,\N,\N,Finished,coulthard,3/27/1971,British,1998,1,3/8/1998,albert_park,Melbourne,Australia,mclaren,British,2.0
43,3656,191,57,1,1,1,1,10.0,58,\N,\N,Finished,hakkinen,9/28/1968,Finnish,1998,1,3/8/1998,albert_park,Melbourne,Australia,mclaren,British,1.0
44,4005,207,14,1,4,1,1,10.0,58,\N,\N,Finished,coulthard,3/27/1971,British,1997,1,3/9/1997,albert_park,Melbourne,Australia,mclaren,British,4.0
45,4007,207,57,1,6,3,3,4.0,58,\N,\N,Finished,hakkinen,9/28/1968,Finnish,1997,1,3/9/1997,albert_park,Melbourne,Australia,mclaren,British,6.0
46,4396,224,14,1,13,R,16,0.0,24,\N,\N,Throttle,coulthard,3/27/1971,British,1996,1,3/10/1996,albert_park,Melbourne,Australia,mclaren,British,13.0
47,4385,224,57,1,5,5,5,2.0,58,\N,\N,Finished,hakkinen,9/28/1968,Finnish,1996,1,3/10/1996,albert_park,Melbourne,Australia,mclaren,British,5.0
48,27,19,1,1,9,5,5,4.0,56,01:35.5,209.033,Finished,hamilton,1/7/1985,British,2008,2,3/23/2008,sepang,Kuala Lumpur,Malaysia,mclaren,British,4.0
49,25,19,5,1,8,3,3,6.0,56,01:35.9,208.031,Finished,kovalainen,10/19/1981,Finnish,2008,2,3/23/2008,sepang,Kuala Lumpur,Malaysia,mclaren,British,3.0
50,392,37,1,1,4,2,2,8.0,56,01:36.7,206.355,Finished,hamilton,1/7/1985,British,2007,2,4/8/2007,sepang,Kuala Lumpur,Malaysia,mclaren,British,4.0
51,391,37,4,1,2,1,1,10.0,56,01:36.9,206.014,Finished,alonso,7/29/1981,Spanish,2007,2,4/8/2007,sepang,Kuala Lumpur,Malaysia,mclaren,British,2.0
52,7580,2,1,1,12,7,7,1.0,31,01:39.1,201.276,Finished,hamilton,1/7/1985,British,2009,2,4/5/2009,sepang,Kuala Lumpur,Malaysia,mclaren,British,13.0
53,7593,2,5,1,14,R,20,0.0,0,\N,\N,Spun off,kovalainen,10/19/1981,Finnish,2009,2,4/5/2009,sepang,Kuala Lumpur,Malaysia,mclaren,British,14.0
54,20376,339,1,1,20,6,6,8.0,56,01:37.7,204.151,Finished,hamilton,1/7/1985,British,2010,3,4/4/2010,sepang,Kuala Lumpur,Malaysia,mclaren,British,20.0
55,20378,339,18,1,17,8,8,4.0,56,01:38.5,202.584,Finished,button,1/19/1980,British,2010,3,4/4/2010,sepang,Kuala Lumpur,Malaysia,mclaren,British,17.0
56,20808,842,1,1,2,8,8,4.0,56,01:41.5,196.575,Finished,hamilton,1/7/1985,British,2011,2,4/10/2011,sepang,Kuala Lumpur,Malaysia,mclaren,British,2.0
57,20802,842,18,1,4,2,2,18.0,56,01:41.3,197.057,Finished,button,1/19/1980,British,2011,2,4/10/2011,sepang,Kuala Lumpur,Malaysia,mclaren,British,4.0
58,21258,861,1,1,1,3,3,15.0,56,01:41.5,196.523,Finished,hamilton,1/7/1985,British,2012,2,3/25/2012,sepang,Kuala Lumpur,Malaysia,mclaren,British,1.0
59,21269,861,18,1,2,14,14,0.0,56,01:42.1,195.443,Finished,button,1/19/1980,British,2012,2,3/25/2012,sepang,Kuala Lumpur,Malaysia,mclaren,British,2.0
60,21750,881,18,1,7,17,17,0.0,53,01:40.6,198.444,Withdrew,button,1/19/1980,British,2013,2,3/24/2013,sepang,Kuala Lumpur,Malaysia,mclaren,British,8.0
61,21742,881,815,1,9,9,9,2.0,56,01:39.2,201.159,Finished,perez,1/26/1990,Mexican,2013,2,3/24/2013,sepang,Kuala Lumpur,Malaysia,mclaren,British,10.0
62,22157,901,18,1,10,6,6,8.0,56,01:46.0,188.183,Finished,button,1/19/1980,British,2014,2,3/30/2014,sepang,Kuala Lumpur,Malaysia,mclaren,British,10.0
63,22160,901,825,1,8,9,9,2.0,55,01:45.4,189.372,+1 Lap,kevin_magnussen,10/5/1992,Danish,2014,2,3/30/2014,sepang,Kuala Lumpur,Malaysia,mclaren,British,8.0
64,22573,927,4,1,18,R,18,0.0,21,01:48.5,183.983,ERS,alonso,7/29/1981,Spanish,2015,2,3/29/2015,sepang,Kuala Lumpur,Malaysia,mclaren,British,18.0
65,22572,927,18,1,17,R,17,0.0,41,01:46.1,188.153,Turbo,button,1/19/1980,British,2015,2,3/29/2015,sepang,Kuala Lumpur,Malaysia,mclaren,British,17.0
66,23672,983,4,1,10,11,11,0.0,55,01:36.5,206.783,+1 Lap,alonso,7/29/1981,Spanish,2017,15,10/1/2017,sepang,Kuala Lumpur,Malaysia,mclaren,British,10.0
67,23668,983,838,1,7,7,7,6.0,55,01:35.9,208.012,+1 Lap,vandoorne,3/26/1992,Belgian,2017,15,10/1/2017,sepang,Kuala Lumpur,Malaysia,mclaren,British,7.0
68,23253,963,4,1,22,7,7,6.0,56,01:38.3,203.017,Finished,alonso,7/29/1981,Spanish,2016,16,10/2/2016,sepang,Kuala Lumpur,Malaysia,mclaren,British,22.0
69,23255,963,18,1,9,9,9,2.0,56,01:38.7,202.094,Finished,button,1/19/1980,British,2016,16,10/2/2016,sepang,Kuala Lumpur,Malaysia,mclaren,British,9.0
70,1167,72,8,1,6,9,9,0.0,56,01:35.5,208.987,Finished,raikkonen,10/17/1979,Finnish,2005,2,3/20/2005,sepang,Kuala Lumpur,Malaysia,mclaren,British,6.0
71,1162,72,31,1,11,4,4,5.0,56,01:36.6,206.603,Finished,montoya,9/20/1975,Colombian,2005,2,3/20/2005,sepang,Kuala Lumpur,Malaysia,mclaren,British,11.0
72,1895,109,8,1,7,1,1,10.0,56,\N,\N,Finished,raikkonen,10/17/1979,Finnish,2003,2,3/23/2003,sepang,Kuala Lumpur,Malaysia,mclaren,British,7.0
73,1912,109,14,1,4,R,18,0.0,2,\N,\N,Electrical,coulthard,3/27/1971,British,2003,2,3/23/2003,sepang,Kuala Lumpur,Malaysia,mclaren,British,4.0
74,2234,125,8,1,5,R,18,0.0,24,\N,\N,Engine,raikkonen,10/17/1979,Finnish,2002,2,3/17/2002,sepang,Kuala Lumpur,Malaysia,mclaren,British,5.0
75,2236,125,14,1,6,R,20,0.0,15,\N,\N,Engine,coulthard,3/27/1971,British,2002,2,3/17/2002,sepang,Kuala Lumpur,Malaysia,mclaren,British,6.0
76,786,54,8,1,6,R,22,0.0,0,\N,\N,Accident,raikkonen,10/17/1979,Finnish,2006,2,3/19/2006,sepang,Kuala Lumpur,Malaysia,mclaren,British,7.0
77,768,54,31,1,5,4,4,5.0,56,01:35.6,208.806,Finished,montoya,9/20/1975,Colombian,2006,2,3/19/2006,sepang,Kuala Lumpur,Malaysia,mclaren,British,6.0
78,3283,174,14,1,3,2,2,6.0,56,\N,\N,Finished,coulthard,3/27/1971,British,2000,17,10/22/2000,sepang,Kuala Lumpur,Malaysia,mclaren,British,
79,3285,174,57,1,2,4,4,3.0,56,\N,\N,Finished,hakkinen,9/28/1968,Finnish,2000,17,10/22/2000,sepang,Kuala Lumpur,Malaysia,mclaren,British,
80,1551,91,8,1,5,R,17,0.0,40,01:35.2,209.706,Transmission,raikkonen,10/17/1979,Finnish,2004,2,3/21/2004,sepang,Kuala Lumpur,Malaysia,mclaren,British,5.0
81,1540,91,14,1,9,6,6,3.0,56,01:35.9,208.183,Finished,coulthard,3/27/1971,British,2004,2,3/21/2004,sepang,Kuala Lumpur,Malaysia,mclaren,British,9.0
82,2581,142,14,1,8,3,3,4.0,55,\N,\N,Finished,coulthard,3/27/1971,British,2001,2,3/18/2001,sepang,Kuala Lumpur,Malaysia,mclaren,British,
83,2584,142,57,1,4,6,6,1.0,55,\N,\N,Finished,hakkinen,9/28/1968,Finnish,2001,2,3/18/2001,sepang,Kuala Lumpur,Malaysia,mclaren,British,
84,3627,189,14,1,3,R,16,0.0,14,\N,\N,Fuel pressure,coulthard,3/27/1971,British,1999,15,10/17/1999,sepang,Kuala Lumpur,Malaysia,mclaren,British,
85,3614,189,57,1,4,3,3,4.0,56,\N,\N,Finished,hakkinen,9/28/1968,Finnish,1999,15,10/17/1999,sepang,Kuala Lumpur,Malaysia,mclaren,British,
86,69,21,1,1,5,3,3,6.0,66,01:22.0,204.323,Finished,hamilton,1/7/1985,British,2008,4,4/27/2008,catalunya,Montmeló,Spain,mclaren,British,5.0
87,83,21,5,1,6,R,17,0.0,21,01:22.5,203.243,Accident,kovalainen,10/19/1981,Finnish,2008,4,4/27/2008,catalunya,Montmeló,Spain,mclaren,British,6.0
88,436,39,1,1,4,2,2,8.0,65,01:22.9,202.205,Finished,hamilton,1/7/1985,British,2007,4,5/13/2007,catalunya,Montmeló,Spain,mclaren,British,4.0
89,437,39,4,1,2,3,3,6.0,65,01:23.0,201.986,Finished,alonso,7/29/1981,Spanish,2007,4,5/13/2007,catalunya,Montmeló,Spain,mclaren,British,2.0
90,20874,845,1,1,3,2,2,18.0,66,01:26.7,193.227,Finished,hamilton,1/7/1985,British,2011,5,5/22/2011,catalunya,Montmeló,Spain,mclaren,British,3.0
91,20875,845,18,1,5,3,3,15.0,66,01:27.5,191.48,Finished,button,1/19/1980,British,2011,5,5/22/2011,catalunya,Montmeló,Spain,mclaren,British,5.0
92,21335,864,1,1,24,8,8,4.0,66,01:28.9,188.465,Finished,hamilton,1/7/1985,British,2012,5,5/13/2012,catalunya,Montmeló,Spain,mclaren,British,1.0
93,21336,864,18,1,10,9,9,2.0,66,01:28.6,189.09,Finished,button,1/19/1980,British,2012,5,5/13/2012,catalunya,Montmeló,Spain,mclaren,British,11.0
94,22228,904,18,1,8,11,11,0.0,65,01:30.6,185.042,+1 Lap,button,1/19/1980,British,2014,5,5/11/2014,catalunya,Montmeló,Spain,mclaren,British,8.0
95,22229,904,825,1,14,12,12,0.0,65,01:30.3,185.544,+1 Lap,kevin_magnussen,10/5/1992,Danish,2014,5,5/11/2014,catalunya,Montmeló,Spain,mclaren,British,15.0
96,22635,930,4,1,13,R,20,0.0,26,01:33.4,179.446,Brakes,alonso,7/29/1981,Spanish,2015,5,5/10/2015,catalunya,Montmeló,Spain,mclaren,British,13.0
97,22631,930,18,1,14,16,16,0.0,65,01:31.2,183.826,+1 Lap,button,1/19/1980,British,2015,5,5/10/2015,catalunya,Montmeló,Spain,mclaren,British,14.0
98,23470,973,4,1,7,12,12,0.0,64,01:23.9,199.752,+2 Laps,alonso,7/29/1981,Spanish,2017,5,5/14/2017,catalunya,Montmeló,Spain,mclaren,British,7.0
99,23476,973,838,1,20,R,18,0.0,32,01:27.6,191.401,Collision,vandoorne,3/26/1992,Belgian,2017,5,5/14/2017,catalunya,Montmeló,Spain,mclaren,British,19.0
100,23869,993,4,1,8,8,8,4.0,65,01:20.7,207.588,+1 Lap,alonso,7/29/1981,Spanish,2018,5,5/13/2018,catalunya,Montmeló,Spain,mclaren,British,8.0
101,23876,993,838,1,11,R,15,0.0,45,01:22.6,202.896,Gearbox,vandoorne,3/26/1992,Belgian,2018,5,5/13/2018,catalunya,Montmeló,Spain,mclaren,British,11.0
102,7642,5,1,1,14,9,9,0.0,65,01:23.8,199.883,+1 Lap,hamilton,1/7/1985,British,2009,5,5/10/2009,catalunya,Montmeló,Spain,mclaren,British,14.0
103,7649,5,5,1,18,R,16,0.0,7,01:28.7,188.888,Gearbox,kovalainen,10/19/1981,Finnish,2009,5,5/10/2009,catalunya,Montmeló,Spain,mclaren,British,18.0
104,21807,884,18,1,14,8,8,4.0,66,01:28.0,190.524,Finished,button,1/19/1980,British,2013,5,5/12/2013,catalunya,Montmeló,Spain,mclaren,British,14.0
105,21808,884,815,1,8,9,9,2.0,66,01:27.3,192.066,Finished,perez,1/26/1990,Mexican,2013,5,5/12/2013,catalunya,Montmeló,Spain,mclaren,British,9.0
106,23023,952,4,1,10,R,19,0.0,45,01:29.8,186.718,Engine,alonso,7/29/1981,Spanish,2016,5,5/15/2016,catalunya,Montmeló,Spain,mclaren,British,10.0
107,23013,952,18,1,12,9,9,2.0,65,01:30.3,185.663,+1 Lap,button,1/19/1980,British,2016,5,5/15/2016,catalunya,Montmeló,Spain,mclaren,British,12.0
108,20432,341,1,1,3,14,14,0.0,64,01:24.4,198.655,Puncture,hamilton,1/7/1985,British,2010,5,5/9/2010,catalunya,Montmeló,Spain,mclaren,British,3.0
109,20423,341,18,1,5,5,5,10.0,66,01:25.2,196.768,Finished,button,1/19/1980,British,2010,5,5/9/2010,catalunya,Montmeló,Spain,mclaren,British,5.0
110,2300,128,8,1,5,R,18,0.0,4,\N,\N,Rear wing,raikkonen,10/17/1979,Finnish,2002,5,4/28/2002,catalunya,Montmeló,Spain,mclaren,British,
111,2285,128,14,1,7,3,3,4.0,65,\N,\N,Finished,coulthard,3/27/1971,British,2002,5,4/28/2002,catalunya,Montmeló,Spain,mclaren,British,
112,2649,145,14,1,3,5,5,2.0,65,\N,\N,Finished,coulthard,3/27/1971,British,2001,5,4/29/2001,catalunya,Montmeló,Spain,mclaren,British,
113,2653,145,57,1,2,9,9,0.0,64,\N,\N,Clutch,hakkinen,9/28/1968,Finnish,2001,5,4/29/2001,catalunya,Montmeló,Spain,mclaren,British,
114,857,58,8,1,9,5,5,4.0,66,01:17.4,215.328,Finished,raikkonen,10/17/1979,Finnish,2006,6,5/14/2006,catalunya,Montmeló,Spain,mclaren,British,9.0
115,873,58,31,1,12,R,21,0.0,17,01:19.5,209.571,Spun off,montoya,9/20/1975,Colombian,2006,6,5/14/2006,catalunya,Montmeló,Spain,mclaren,British,12.0
116,1219,75,8,1,1,1,1,10.0,66,01:16.0,219.24,Finished,raikkonen,10/17/1979,Finnish,2005,5,5/8/2005,catalunya,Montmeló,Spain,mclaren,British,1.0
117,1225,75,31,1,7,7,7,2.0,65,01:15.8,219.836,+1 Lap,montoya,9/20/1975,Colombian,2005,5,5/8/2005,catalunya,Montmeló,Spain,mclaren,British,7.0
118,1605,94,8,1,13,11,11,0.0,65,01:18.8,211.273,+1 Lap,raikkonen,10/17/1979,Finnish,2004,5,5/9/2004,catalunya,Montmeló,Spain,mclaren,British,13.0
119,1604,94,14,1,10,10,10,0.0,65,01:19.2,210.384,+1 Lap,coulthard,3/27/1971,British,2004,5,5/9/2004,catalunya,Montmeló,Spain,mclaren,British,10.0
120,1974,112,8,1,20,R,20,0.0,0,\N,\N,Collision,raikkonen,10/17/1979,Finnish,2003,5,5/4/2003,catalunya,Montmeló,Spain,mclaren,British,20.0
121,1970,112,14,1,8,R,16,0.0,17,\N,\N,Collision,coulthard,3/27/1971,British,2003,5,5/4/2003,catalunya,Montmeló,Spain,mclaren,British,8.0
122,3020,162,14,1,4,2,2,6.0,65,\N,\N,Finished,coulthard,3/27/1971,British,2000,5,5/7/2000,catalunya,Montmeló,Spain,mclaren,British,
123,3019,162,57,1,2,1,1,10.0,65,\N,\N,Finished,hakkinen,9/28/1968,Finnish,2000,5,5/7/2000,catalunya,Montmeló,Spain,mclaren,British,
124,3393,179,14,1,3,2,2,6.0,65,\N,\N,Finished,coulthard,3/27/1971,British,1999,5,5/30/1999,catalunya,Montmeló,Spain,mclaren,British,
125,3392,179,57,1,1,1,1,10.0,65,\N,\N,Finished,hakkinen,9/28/1968,Finnish,1999,5,5/30/1999,catalunya,Montmeló,Spain,mclaren,British,
126,3745,195,14,1,2,2,2,6.0,65,\N,\N,Finished,coulthard,3/27/1971,British,1998,5,5/10/1998,catalunya,Montmeló,Spain,mclaren,British,
127,3744,195,57,1,1,1,1,10.0,65,\N,\N,Finished,hakkinen,9/28/1968,Finnish,1998,5,5/10/1998,catalunya,Montmeló,Spain,mclaren,British,
128,4122,212,14,1,3,6,6,1.0,64,\N,\N,Finished,coulthard,3/27/1971,British,1997,6,5/25/1997,catalunya,Montmeló,Spain,mclaren,British,3.0
129,4123,212,57,1,5,7,7,0.0,64,\N,\N,Finished,hakkinen,9/28/1968,Finnish,1997,6,5/25/1997,catalunya,Montmeló,Spain,mclaren,British,5.0
130,4530,230,14,1,14,R,18,0.0,0,\N,\N,Collision,coulthard,3/27/1971,British,1996,7,6/2/1996,catalunya,Montmeló,Spain,mclaren,British,14.0
131,4517,230,57,1,10,5,5,2.0,64,\N,\N,+1 Lap,hakkinen,9/28/1968,Finnish,1996,7,6/2/1996,catalunya,Montmeló,Spain,mclaren,British,10.0
132,5261,261,57,1,3,R,13,0.0,48,\N,\N,Engine,hakkinen,9/28/1968,Finnish,1994,5,5/29/1994,catalunya,Montmeló,Spain,mclaren,British,3.0
133,5259,261,84,1,8,11,11,0.0,59,\N,\N,Transmission,brundle,6/1/1959,British,1994,5,5/29/1994,catalunya,Montmeló,Spain,mclaren,British,8.0
134,4816,243,57,1,9,R,18,0.0,53,\N,\N,Fuel system,hakkinen,9/28/1968,Finnish,1995,4,5/14/1995,catalunya,Montmeló,Spain,mclaren,British,9.0
135,4822,243,95,1,10,R,24,0.0,18,\N,\N,Handling,mansell,8/8/1953,British,1995,4,5/14/1995,catalunya,Montmeló,Spain,mclaren,British,10.0
136,5688,277,102,1,3,2,2,6.0,65,\N,\N,Finished,senna,3/21/1960,Brazilian,1993,5,5/9/1993,catalunya,Montmeló,Spain,mclaren,British,
137,5691,277,121,1,7,5,5,2.0,64,\N,\N,+1 Lap,andretti,10/5/1962,American,1993,5,5/9/1993,catalunya,Montmeló,Spain,mclaren,British,
138,6088,292,77,1,7,4,4,3.0,65,\N,\N,Finished,berger,8/27/1959,Austrian,1992,4,5/3/1992,catalunya,Montmeló,Spain,mclaren,British,
139,6093,292,102,1,3,9,9,0.0,62,\N,\N,Spun off,senna,3/21/1960,Brazilian,1992,4,5/3/1992,catalunya,Montmeló,Spain,mclaren,British,
140,6934,318,77,1,1,R,20,0.0,33,\N,\N,Electrical,berger,8/27/1959,Austrian,1991,14,9/29/1991,catalunya,Montmeló,Spain,mclaren,British,
141,6919,318,102,1,3,5,5,2.0,65,\N,\N,Finished,senna,3/21/1960,Brazilian,1991,14,9/29/1991,catalunya,Montmeló,Spain,mclaren,British,
142,90,22,1,1,3,2,2,8.0,58,01:26.5,222.085,Finished,hamilton,1/7/1985,British,2008,5,5/11/2008,istanbul,Istanbul,Turkey,mclaren,British,3.0
143,100,22,5,1,2,12,12,0.0,57,01:27.6,219.269,+1 Lap,kovalainen,10/19/1981,Finnish,2008,5,5/11/2008,istanbul,Istanbul,Turkey,mclaren,British,2.0
144,615,47,1,1,2,5,5,4.0,58,01:28.0,218.464,Finished,hamilton,1/7/1985,British,2007,12,8/26/2007,istanbul,Istanbul,Turkey,mclaren,British,2.0
145,613,47,4,1,4,3,3,6.0,58,01:28.1,218.199,Finished,alonso,7/29/1981,Spanish,2007,12,8/26/2007,istanbul,Istanbul,Turkey,mclaren,British,4.0
146,7686,7,1,1,16,13,13,0.0,58,01:28.6,216.986,Finished,hamilton,1/7/1985,British,2009,7,6/7/2009,istanbul,Istanbul,Turkey,mclaren,British,16.0
147,7687,7,5,1,14,14,14,0.0,57,01:29.2,215.497,+1 Lap,kovalainen,10/19/1981,Finnish,2009,7,6/7/2009,istanbul,Istanbul,Turkey,mclaren,British,14.0
148,20467,343,1,1,2,1,1,25.0,58,01:30.1,213.342,Finished,hamilton,1/7/1985,British,2010,7,5/30/2010,istanbul,Istanbul,Turkey,mclaren,British,2.0
149,20468,343,18,1,4,2,2,18.0,58,01:29.9,213.769,Finished,button,1/19/1980,British,2010,7,5/30/2010,istanbul,Istanbul,Turkey,mclaren,British,4.0
150,20852,844,1,1,4,4,4,12.0,58,01:30.1,213.264,Finished,hamilton,1/7/1985,British,2011,4,5/8/2011,istanbul,Istanbul,Turkey,mclaren,British,4.0
151,20854,844,18,1,6,6,6,8.0,58,01:31.2,210.786,Finished,button,1/19/1980,British,2011,4,5/8/2011,istanbul,Istanbul,Turkey,mclaren,British,6.0
152,1049,66,8,1,7,R,21,0.0,1,\N,\N,Collision,raikkonen,10/17/1979,Finnish,2006,14,8/27/2006,istanbul,Istanbul,Turkey,mclaren,British,8.0
